EntrezGeneSymbol1	EntrezGeneSymbol2	score
BCL2A1	SIGLEC1	0.3356
DSG1	NPPB	0.3294
IGHM IGJ IGK@ IGL@	CD5L	0.3288
MAPT	KAT6A	0.3274
IL19	COLEC11	0.3271
C3	C3	0.3257
CTSC	IL20	0.3213
HP	SERPIND1	0.3211
CXCL11	ITGAV ITGB5	0.3203
CD163	HAVCR2	0.3176
LRP8	PSMA2	0.3170
TNFSF9	PRKCZ	0.3170
IFNGR1	FCRL3	0.3158
CNTF	CTSE	0.3156
AMHR2	DSG2	0.3153
EPHA5	KIR3DL2	0.3153
P4HB	SERPINA6	0.3131
FCN1	GCG	0.3105
YES1	CXCL3 CXCL2	0.3089
ACVRL1	PIK3CG	0.3082
C3	KIR3DL2	0.3067
PTEN	COL8A1	0.3055
ADAMTS15	SSRP1	0.3054
DPP7	CASP2	0.3050
ARSA	IL12RB2	0.3049
KLK7	TNFRSF12A	0.3038
CDH6	HNRNPA2B1	0.3031
IL17B	CSF2	0.3028
IGFBP7	BIRC3	0.3025
CLEC7A	DYRK3	0.3017
KLK12	DDC	0.2990
IFNA2	TPM2	0.2980
CASP3	FGFR2	0.2978
CGA TSHB	NR1D1	0.2949
MSR1	PSME3	0.2947
FRZB	CCL11	0.2942
CDNF	MAPK12	0.2933
C1S	TLR4 LY96	0.2933
SNX4	AGR2	0.2925
GZMB	XCL1	0.2924
CCL20	CST3	0.2921
NID1	NID2	0.2914
PLXNC1	GSTP1	0.2897
PES1	GSTA3	0.2897
CDH1	CXCL12	0.2890
TG	LIN7B	0.2887
IL17F	MAPK11	0.2885
HMOX2	TNFRSF1A	0.2883
MMP3	TGFB3	0.2871
CDC2 CCNB1	KIRREL3	0.2865
APOE	APOE	0.2861
PLAUR	TNFSF4	0.2853
TNFSF11	IL25	0.2831
TNFSF11	CD109	0.2825
IL11RA	TNFRSF19	0.2818
IGHG1 IGHG2 IGHG3 IGHG4 IGK@ IGL@	RTN4	0.2794
CD4	NCK1	0.2789
TMPRSS15	CSF1	0.2786
KAT6A	TOP1	0.2776
ERBB2	ACAN	0.2773
ANXA1	NRXN3	0.2754
APOE	APOE	0.2754
ARSB	AGR2	0.2746
AURKA	PON1	0.2739
CDH12	BMP6	0.2738
KPNA2	CKB	0.2735
CTSG	IL17F	0.2733
PRSS27	TEC	0.2728
CTLA4	CCL19	0.2725
NBL1	ADAMTS5	0.2716
PLA2G5	PTHLH	0.2713
CD80	LIN7B	0.2712
PSMA6	HBEGF	0.2698
RET	TFF3	0.2686
UBE2I	IL7	0.2686
HFE2	RGMA	0.2683
PLAU	SLAMF6	0.2679
CNTF	IL17A	0.2671
GNS	HNRNPA2B1	0.2664
C5	C5 C6	0.2657
MAPK11	DLL1	0.2656
SMPDL3A	POMC	0.2653
CCL21	KLK13	0.2649
KIRREL3	GCKR	0.2649
CCL20	PES1	0.2648
HMGCR	TNNI3	0.2643
CDH6	GNS	0.2636
RPSA	TNFRSF12A	0.2632
FLT3LG	CASP2	0.2632
SIGLEC7	RPS7	0.2631
PDXP	IL3RA	0.2623
RGMB	NTF3	0.2617
CNTN5	PTK2	0.2616
PSPN	PLAU	0.2615
TNFRSF13B	MMP14	0.2612
ANGPTL4	EIF4A3	0.2607
LTBR	KIR3DS1	0.2597
PLAT	DKK3	0.2588
IGHG1 IGHG2 IGHG3 IGHG4 IGK@ IGL@	AMHR2	0.2580
CST5	CST2	0.2576
CPE	SEMA3E	0.2565
CDC42BPB	CDH15	0.2564
AURKA	CSF3	0.2553
CD80	CRLF1 CLCF1	0.2543
HIST1H1C	SFTPD	0.2541
ACVR1B	IL34	0.2538
IL3	PDE3A	0.2534
IL11	CD27	0.2532
CKB	KIF23	0.2532
RSPO2	NCR1	0.2527
PAK3	HINT1	0.2527
INHBA INHBB	CRK	0.2524
IL20	RASA1	0.2518
CD84	PDE7A	0.2516
KLK4	IL13	0.2503
IGFBP3	IGFBP5	0.2494
APOE	APOE	0.2493
LDHB	PRDX6	0.2491
IL2RG	MPL	0.2488
PRKCD	EIF4EBP2	0.2468
TYRO3	NLGN4X	0.2463
DDR2	HNRNPK	0.2463
C4A C4B	C1R	0.2456
HMGB1	IFNA2	0.2455
ETHE1	PSMA1	0.2448
FGF5	CDKN1B	0.2447
TPSG1	NMT1	0.2445
CAMK2B	CAMK2D	0.2438
IL12B IL23A	SPOCK1	0.2437
PRKCZ	PLK1	0.2437
IL5	TYK2	0.2435
CDH3	SERPINA5	0.2428
NCK1	PRDX5	0.2425
CX3CL1	JAG2	0.2421
CD97	KPNA2	0.2420
APOE	APOE	0.2407
TMPRSS15	MMP10	0.2405
GFRA3	ITGAV ITGB5	0.2402
TNFSF13B	TNFRSF18	0.2401
APOE	APOE	0.2400
FRZB	CXCL13	0.2399
IL1B	NTRK1	0.2390
RPSA	DPT	0.2388
LTBR	ITGAV ITGB5	0.2385
SERPINA6	MICB	0.2385
SPON1	PPA1	0.2381
PRDX5	PDE4D	0.2379
FGF8	TNFRSF9	0.2376
EDA	FGF4	0.2376
HGF	EIF4A3	0.2373
CASP2	DBNL	0.2372
NTRK1	PPIB	0.2367
SIGLEC6	GZMH	0.2362
POR	KYNU	0.2361
PLXNC1	AMICA1	0.2357
MAPK13	KIF23	0.2348
CXCL11	RSPO2	0.2346
KPNA2	KREMEN2	0.2344
NAAA	CTSA	0.2343
ARG1	PRSS3	0.2342
VEGFA	PDE9A	0.2335
DDX19B	FUT3	0.2329
TBP	CHST2	0.2324
UBE2I	JAM2	0.2317
ICAM3	MDM2	0.2316
ALB	INS	0.2310
CX3CL1	TNF	0.2309
IL22RA1	PDE3A	0.2308
DSG1	FGF2	0.2303
CCL3L1	BCL2A1	0.2300
TG	RPS27A	0.2291
FTH1 FTL	CDH2	0.2289
KLK4	MSLN	0.2288
CASP3	FUT3	0.2286
JAM2	CDK5 CDK5R1	0.2285
FGF23	MAPK12	0.2285
FGFR2	PLAU	0.2283
PDCD1LG2	TSLP	0.2278
NUDCD3	HNRNPAB	0.2260
CHST2	IL11	0.2260
LGALS8	ATP5B	0.2259
MPL	PLA2G1B	0.2259
PECAM1	BCL2L1	0.2254
EPOR	NUDCD3	0.2252
CHST2	ADCYAP1	0.2248
STX1A	SPHK2	0.2242
ICAM3	IL17A	0.2241
CXCL1	PROC	0.2234
CDC2 CCNB1	IL11	0.2226
APOB	PLA2G7	0.2218
GPT	HINT1	0.2207
CRLF1 CLCF1	SSRP1	0.2203
CTSC	RASA1	0.2202
ESR1	IGF1	0.2181
HMGB1	SFTPD	0.2177
KLK5	RPS7	0.2176
ENTPD3	LGALS8	0.2175
FLT3	PSME1	0.2175
TNFAIP6	NR1D1	0.2172
PLAUR	IL11RA	0.2171
FST	KIRREL3	0.2170
FGF18	ARSB	0.2170
CCL4L1	ITGAV ITGB5	0.2160
IDUA	CTSA	0.2159
FASLG	IL13	0.2159
CTLA4	NACA	0.2158
PTPN2	TG	0.2157
FGF2	NPPB	0.2153
SPTAN1	TNFRSF6B	0.2151
CDH5	TSLP	0.2145
NOV	ARSA	0.2138
FST	IGHD  IGK@ IGL@	0.2134
TNFRSF25	RTN4	0.2133
MSN	EPHA10	0.2123
CD86	IL17RC	0.2118
MAPT	TOP1	0.2118
IGFBP3	IGF1	0.2118
POSTN	DCTN2	0.2111
IL23R	IL27RA	0.2109
CDH1	TFPI	0.2105
CAT	CA1	0.2105
JAM3	PON1	0.2101
CAST	SPON1	0.2099
KLK8	CD70	0.2098
POR	ACY1	0.2092
EDA2R	SIRT2	0.2092
RPS27A	CD27	0.2092
TNFSF4	TPSG1	0.2091
TIMP1	B2M	0.2090
ATP5B	PDE9A	0.2083
Human-virus	PDE7A	0.2078
PRSS22	PI3	0.2074
MEPE	TNFRSF14	0.2074
FCN1	CD86	0.2073
C5	LYVE1	0.2069
IL17F	DYRK3	0.2064
CKM	CA3	0.2063
TIMP2	MMP2	0.2058
RPS7	MIF	0.2057
PYY	SPOCK1	0.2056
SLPI	VEGFA	0.2052
CD4	DLL1	0.2044
CD97	PSMA1	0.2037
IL13	VIP	0.2027
TNFSF13B	PSME3	0.2027
SEMA3A	PSMA1	0.2025
CKB	CASP2	0.2017
BDNF	GAS1	0.2011
C1S	CFH	0.2009
TIMP1	C3	0.2006
TNFSF18	EIF4A3	0.2002
ENTPD1	ENTPD3	0.2002
JAG2	NOTCH2	0.2001
SERPINA3	SERPINA3	0.2000
TFPI	F5	0.1997
TNFRSF9	TNFSF18	0.1997
DCTN2	SPON1	0.1989
FSTL3	IL20RA	0.1989
BOC	SAA1	0.1987
CCNB1	TNFSF14	0.1984
JAM3	MIF	0.1981
CTGF	GPC3	0.1979
TNFRSF4	PTEN	0.1979
EPS15L1	RBM39	0.1978
TNFRSF8	GZMB	0.1977
FGR	TNFRSF6B	0.1971
EPHA5	AGR2	0.1970
F11	KLKB1	0.1961
CCL8	MASP1	0.1960
WNT7A	SIRT2	0.1959
FRZB	EREG	0.1958
IL10	CYCS	0.1955
AKT1 AKT2 AKT3	IL7R	0.1953
AGT	TFF3	0.1951
CTSA	CTSZ	0.1949
MMP1	DSG2	0.1948
GHR	ENTPD1	0.1945
JAM3	BMP10	0.1937
EPHB6	PDK1	0.1934
ANGPT4	KLK12	0.1932
KAT6A	IL20	0.1930
RSPO2	C3	0.1924
PLG	P4HB	0.1922
IBSP	OMD	0.1919
ANGPT1	CDK8 CCNC	0.1917
SFRP1	EREG	0.1917
PTN	CA2	0.1914
ICAM2	SST	0.1913
SH2D1A	MMP14	0.1913
CHST2	AMICA1	0.1908
GSTP1	AMICA1	0.1907
MMP10	TNFRSF18	0.1905
FN1	FN1	0.1903
CGA FSHB	CGA CGB	0.1896
CXCL13	PPA1	0.1895
DKK4	DKK1	0.1892
KIT	L1CAM	0.1891
FGF17	MFGE8	0.1891
HMGB1	GAS1	0.1890
CFP	C6	0.1888
RETN	TNFRSF4	0.1886
CST7	ASGR1	0.1886
EPB41	CA1	0.1885
EIF5	MSLN	0.1882
CCL3	ADAM12	0.1879
CDK5 CDK5R1	IL34	0.1876
HS6ST1	EPHB6	0.1875
CFD	PTEN	0.1874
RPSA	UCHL1	0.1873
CXCL16	KLRK1	0.1871
IL4	BMX	0.1869
ACAN	LMNB1	0.1869
CCL2	LIFR	0.1868
ICAM1	ICAM5	-0.1862
TNNI3	PRKCG	0.1861
PECAM1	CRISP3	0.1858
CCL2	PTK6	0.1852
IBSP	CAPG	0.1845
GDF5	MDM2	0.1844
AIF1	CDON	0.1843
NSFL1C	OLFM4	0.1841
IFNA2	ANGPTL4	0.1838
IL15RA	MAPK12	0.1838
PECAM1	MEPE	0.1837
CTSS	VEGFA	0.1836
PLA2G5	GDF9	0.1834
CA1	AK1	0.1834
SPINT1	CST6	0.1834
TGFB1	CXCL10	0.1828
PLA2G10	EPHA3	0.1827
PROK1	CSF2	0.1826
IL12A IL12B	PSMA1	0.1826
KLK7	CST1	0.1825
NTF3	PDE9A	0.1825
BMX	HSD17B1	0.1825
CGA LHB	SMPDL3A	0.1824
ROR1	PIM1	0.1821
TNFSF11	FGF8	0.1821
HRG	CD27	0.1818
TNFRSF8	XCL1	0.1814
NCK1	DLL1	0.1809
CFB	CFH	0.1808
GFRA3	CXCL10	0.1808
DPP7	PIM1	0.1807
GZMH	ZAP70	0.1807
MMP10	ATP5B	0.1806
CDH2	MMP16	0.1801
CCL27	CCL1	0.1797
CDKN1B	PSMD7	0.1796
CCL23	CCL15	-0.1792
RPS7	PFDN5	0.1792
PSPN	LIN7B	0.1792
CA4	CD274	0.1790
GZMB	KLK3	0.1790
AMN	BCAR3	0.1789
CXCL1	GFAP	0.1788
CTGF	MAPK12	0.1787
TBP	AMICA1	0.1784
TNFSF9	ANP32B	0.1784
FN1	FN1	0.1783
WIF1	ENTPD1	0.1778
HIST1H1C	CTSE	0.1777
Human-virus	ALB	0.1776
CA3	FABP3	0.1773
LMNB1	CD70	0.1771
FGF1	CNTF	0.1771
CCL3	PGLYRP1	0.1770
A2M	NAGK	0.1768
STX1A	PDGFC	0.1765
NCR3	VIP	0.1765
CDH12	RPS27A	0.1765
PPBP	PPBP	0.1764
CCL20	MMP13	0.1764
SIGLEC6	ZAP70	0.1764
FLT4	TIE1	0.1761
TNFSF15	TPO	0.1761
PTH	DAPK2	0.1757
IGHG1 IGHG2 IGHG3 IGHG4 IGK@ IGL@	DSG2	0.1757
C4A C4B	ERP29	0.1751
FGF18	CHST2	0.1745
FGF10	KPNA2	0.1745
FGF20	TPO	0.1743
KLRK1	LPO	0.1739
KPNA2	RPS6KA5	0.1737
CA4	CDC2 CCNB1	0.1736
CCL17	MMP1	0.1736
FRZB	ECE1	0.1735
IL2RG	CDNF	-0.1734
CPB2	MAPKAPK3	-0.1733
ARSB	SNX4	0.1730
ADAMTS4	HBEGF	0.1728
NUDCD3	MICB	0.1728
SERPINA1	IL7	0.1726
PAFAH1B2	SERPINE2	0.1725
MAPK8	TNFRSF19	0.1725
CST3	B2M	0.1724
INSR	IGF1R	0.1723
ROR1	KLK6	0.1721
OLR1	EREG	0.1720
NANOG	MMP14	0.1716
FABP5	KRAS	0.1716
NCK1	PDE4D	0.1710
IL17RA	CGA TSHB	0.1707
FCGR1A	CA9	0.1703
TDGF1	IL34	0.1702
LGALS2	FGF5	0.1701
KIR2DL4	NMT1	0.1700
GDF9	ULBP1	0.1698
CCL4L1	SCGB2A1	0.1697
PROS1	F10	0.1697
CA10	COL8A1	0.1695
FABP3	SPTAN1	0.1692
CRLF1 CLCF1	CRISP3	0.1691
YES1	PRSS27	0.1687
FGF10	NCR2	0.1685
CX3CL1	CA10	0.1684
TLR4 LY96	MAPK11	0.1683
EHMT2	SLPI	0.1682
IDE	CPE	0.1681
PLA2G2A	IL22	0.1680
KREMEN2	AGER	0.1680
IL16	MMP17	0.1678
CD207	CSF2	0.1677
MAPK1	TNFRSF19	0.1677
CD109	IL25	0.1675
PAFAH1B2	SEMA3A	0.1673
ANGPT1	PIK3CG	0.1673
LDHB	KRAS	0.1671
RPS27A	SIRT2	0.1671
CTSB	PRKCG	0.1668
PYY	GCG	0.1664
PTN	TGFBR2	0.1660
CCL13	WNT7A	0.1659
CCL14	CCL15	0.1658
ESR1	DPP7	0.1655
CCL20	NID2	0.1653
LDHB	GSN	0.1650
COLEC12	DAPK2	0.1648
PAK3	GCKR	0.1648
HBA1 HBB	MICB	0.1638
KLK8	KLK7	0.1632
PGF	MIF	0.1630
TMPRSS15	IL17D	0.1629
MFRP	LRRTM1	0.1628
TNFSF11	CST1	0.1628
CYCS	ETHE1	0.1627
KLK6	BMPR2	0.1626
CD4	SORCS2	0.1624
MMP10	CA9	0.1624
AURKA	VEGFC	0.1623
CD22	NCR3	0.1622
CTF1	DDR1	0.1621
CCL8	SSRP1	0.1620
PROK1	IL17B	0.1619
IL1RL2	PDGFC	0.1618
OCIAD1	NLGN4X	0.1615
KLRK1	IGHE IGK@ IGL@	0.1613
HMGB1	CYCS	0.1613
LTA	TNFRSF6B	0.1612
FTH1 FTL	MSR1	0.1611
PSPN	BOC	0.1610
LYVE1	CCL24	0.1610
ULBP3	TGFBR2	0.1610
AURKA	TNFRSF19	0.1609
PTPN11	PTPN6	0.1609
C3	B2M	0.1609
CDC42BPB	ADCYAP1	0.1608
ESR1	GFRA1	0.1606
NTRK2	TNFSF14	0.1603
PLAU	FGF8	0.1601
OSM	IFNA2	0.1600
NAAA	CTSZ	0.1599
UBE2I	MSLN	0.1599
SERPINA6	MAPK11	0.1597
HCK	TBK1	0.1596
TACSTD2	DSC3	0.1594
CHIT1	PSME1	0.1591
CLEC7A	IL6	0.1590
IL3	STK17B	0.1589
PECAM1	DNAJC19	0.1589
FGF1	SST	0.1588
IL37	FST	0.1587
EPS15L1	IFNL2	0.1587
GOT1	EREG	0.1586
EDAR	IL25	0.1584
ULBP2	KLK13	0.1582
NGF	PDE9A	0.1579
CST6	KLK7	0.1578
C1QA C1QB  C1QC	C1R	0.1574
TNF	JAG2	0.1573
CXCL5	THBS2	0.1572
HIST1H1C	S100A9	0.1571
ADAMTS4	TGFBR2	0.1571
SYNCRIP	FABP3	0.1568
CCL3	CLEC7A	0.1568
C3	CD200R1	0.1567
HAPLN1	HBA1 HBB	0.1567
TNF	RB1	0.1567
PLA2G10	PTK2	0.1566
GAS1	BMP10	0.1564
CNTF	CCL17	0.1563
NAMPT	NMT1	0.1562
IL2RA	IL17RC	0.1561
IL1RL2	PARK7	0.1561
NOTCH2	PRKCG	0.1559
CD4	CMPK1	0.1559
IL2RG	IL10	0.1559
GCG	MAPK13	0.1558
NCR2	ADAMTS4	0.1556
MATN3	CADM1	0.1556
CCNB1	SEMA3E	0.1556
UBE2I	PON1	0.1552
EDA	COLEC12	0.1551
PRTN3	IL25	0.1551
PLA2G2E	DYNLL1	0.1551
SEMA3A	ABL2	0.1550
TNFRSF17	IL5RA	0.1547
KLKB1	KNG1	0.1547
CD97	CKB	0.1546
CHST6	F3	0.1546
PLA2G1B	GPC5	0.1546
SKP1	LCORL	0.1544
KPNA2	IFNL1	0.1543
MEPE	CCL19	0.1541
NAMPT	KIR2DL4	0.1540
SERPINA3	CD200R1	0.1539
Human-virus	LTA4H	0.1539
LAYN	WNT7A	0.1538
ACE2	EPHA1	0.1536
INS	CAPG	0.1536
OLR1	HINT1	0.1535
CCNB1	SNRPF	0.1535
ANGPT1	ACVRL1	0.1535
CAMK2A	CAMK2D	0.1535
BGN	CSF1	0.1532
CNTN1	NOTCH3	0.1527
ULBP3	PSMA1	0.1527
TNFRSF11B	LTA LTB	0.1526
SERPINE1	MBD4	0.1523
GFAP	FGF12	0.1522
IL2	TNFRSF12A	0.1522
ICAM2	FGF1	0.1521
MPO	DNAJB1	0.1519
CHST6	PIM1	0.1514
CD80	GDF11	0.1513
OLR1	GPT	0.1513
MATK	RPS7	0.1512
CCL4L1	IL20RA	0.1512
FGF8	PES1	0.1511
MMP7	LGALS8	0.1510
CYCS	JAG2	0.1509
FGF20	NTF4	0.1507
COL23A1	NTRK2	0.1503
CD207	TEK	0.1503
IL17A	CGA TSHB	0.1503
F11	COMMD7	0.1503
ADAMTS15	UNC5C	0.1502
SIGLEC7	KLK5	0.1502
IL4	HBEGF	0.1502
TNFSF12	SFRP1	0.1501
SERPINA1	MED1	0.1501
CCL17	TNFRSF4	0.1501
CSF3R	PPIB	0.1501
CCNB1	KRT18	0.1497
AKT1 AKT2 AKT3	IMPDH1	0.1497
TBP	TNNI3	0.1495
CTSB	CCL24	0.1495
Human-virus	GZMH	0.1494
GNS	BMP6	0.1493
TNFSF4	IL11RA	0.1490
IL13RA1	PPIB	0.1490
CGA TSHB	KIRREL3	0.1490
ASGR1	MFGE8	0.1489
CCL1	IL22RA1	0.1488
TNFRSF1A	RGMB	0.1488
PLA2G2E	FUT3	0.1487
IL12A IL12B	KAT6A	0.1486
EHMT2	CTSS	0.1486
DPP7	SLAMF7	0.1485
PSMA1	COL23A1	0.1484
SEMA3A	PIM1	0.1484
CDK2 CCNA2	SMPDL3A	0.1483
GDF5	CHEK1	0.1481
PIK3CA PIK3R1	FCRL3	0.1481
CHIT1	GPNMB	0.1479
TGM3	CD70	0.1479
CPE	TNFSF14	0.1479
NAGK	KYNU	0.1478
CRLF1 CLCF1	LCK	0.1476
CNDP2	SYNCRIP	0.1476
KLK5	PFDN5	0.1476
RPSA	FGFR4	0.1474
IL37	MAPK13	0.1474
HMOX2	NME1	0.1473
DIABLO	MPL	0.1473
CKB CKM	CA3	0.1473
IL17RD	CDH2	0.1472
ESM1	TNFRSF19	0.1470
MEPE	BCL2L1	0.1470
TOP1	SEZ6L2	0.1469
CASP2	PDK1	0.1469
CKM	NOTCH2	0.1468
FGF6	NME1	0.1467
Human-virus	ZAP70	0.1466
PAFAH1B2	SNX4	0.1466
GDF5	HNRNPK	0.1465
TFF3	SHBG	0.1464
CAST	PPA1	0.1463
COLEC12	HPGD	0.1462
Human-virus	SIGLEC6	0.1459
FASLG	VIP	0.1458
SST	C3	0.1457
TNFSF14	SEMA3E	0.1455
SERPINA3	TF	0.1452
FGF17	ASGR1	0.1452
FGF4	PPA1	0.1452
CCL14	CCL23	0.1451
BCL2A1	S100A9	0.1450
TNFRSF10A	PRKAA2 PRKAB2 PRKAG1	0.1449
CD207	IL17B	0.1448
CCL19	CA2	0.1447
ENTPD1	MAPK8	0.1447
SEZ6L2	ENG	0.1447
FLT3	FGFR4	0.1447
CCNB1	PRKCG	0.1446
MB	CA3	0.1445
FGF20	IL4	0.1443
FGA FGB FGG	FGG	0.1442
CCL1	HCK	0.1441
HNRNPK	PGK1	0.1439
SERPINE2	EEF1B2	0.1439
STK16	PTGS2	0.1438
MFRP	LPO	0.1436
COMMD7	ANG	0.1435
PROK1	NBL1	0.1434
FGF20	PSMD7	0.1433
MAPK8	IGHE IGK@ IGL@	0.1431
CCDC80	CHRDL1	0.1431
GAS1	CXCL10	-0.1431
TF	HIBADH	-0.1431
IL2RA	TNFRSF11A	0.1431
CTGF	IL11	0.1430
CCL22	CXCL12	0.1430
IL37	KIRREL3	0.1430
PTPN2	LIN7B	0.1429
CHIT1	HINT1	0.1429
C1QBP	TNFRSF12A	0.1428
CCL22	CCL17	0.1428
ROR1	IL24	0.1428
CCL3	VEGFC	0.1427
CFD	IGF1	0.1424
CFD	CTSD	0.1421
CLEC4M	C1QBP	0.1421
SCARF2	PDK1	0.1420
CCL4L1	DPP7	0.1419
SIGLEC7	MIF	0.1418
AGRP	TYK2	0.1418
CA4	PEBP1	0.1417
PECAM1	GPC2	0.1417
LCORL	CASP10	0.1413
IL17RD	MMP16	0.1412
CXCL5	RBM39	0.1411
IL25	FGF8	0.1410
PLA2G2E	IL17F	0.1410
APOE	APOE	0.1410
AURKB	TEC	0.1409
UBE2I	GCG	0.1406
TIE1	CD209	0.1405
CA9	FABP3	0.1405
FRZB	MASP1	-0.1404
MAPK13	RPS3	0.1402
EEF1B2	SNX4	0.1402
CDH1	CCL22	0.1401
SFTPD	S100A9	0.1401
DCN	BGN	0.1399
FRZB	SFRP1	0.1398
IGF1	IL2	0.1398
TNFRSF19	PRKAA1 PRKAB1  PRKAG1	0.1397
CDC2 CCNB1	GCKR	0.1397
YES1	LCMT1	-0.1397
PLG	P4HB	0.1397
IL22RA1	STK17B	0.1395
PROS1	F10	0.1395
CCL27	ACE2	0.1395
BCAN	GPR114	0.1394
LYN	LYN	0.1392
IL7R	IMPDH1	0.1391
CSF3	PRDX5	0.1391
PLK1	ANP32B	0.1391
ACAN	NPPB	0.1390
CRLF2	TNFSF15	0.1390
TDGF1	CXCL10	0.1389
IL10RB	FGF6	0.1388
MMP8	Human-virus	0.1388
C8A C8B C8G	ZAP70	0.1387
FCN2	FCN3	0.1387
RPS27A	CA1	0.1387
EIF5	MSN	0.1387
ALB	EPHA5	0.1386
RPS7	TGFBR2	0.1384
IDE	GPNMB	0.1384
FGF8	FGF7	0.1383
P4HB	AGR2	0.1383
GPC2	BCL2L1	0.1382
BPI	CXCL10	0.1381
TNFRSF10A	GRAP2	0.1380
IL11RA	TNFRSF6B	0.1379
TNFRSF17	SLAMF7	0.1378
PGF	LRRTM3	0.1378
ACY1	ITGA1 ITGB1	0.1377
TGFB1	GFRA3	0.1376
NACA	ING1	0.1374
IL17RD	PDE9A	0.1373
FLT4	KDR	0.1373
IL1RL2	KLK12	0.1372
EPO	LTA LTB	0.1372
CTSS	FGF6	0.1372
TNFRSF11B	C6	0.1371
CTSV	MED1	0.1371
TMPRSS15	A2M	0.1371
F11	LAYN	0.1367
MAPK1	MMP13	0.1367
SEMA3A	IL12RB2	0.1365
ABL1	NACA	0.1364
PTK6	SCARF2	0.1363
IL10RB	WIF1	0.1362
TIE1	TEK	0.1361
TNFRSF18	IL17RC	0.1361
JAM3	EEF1B2	-0.1360
SEMA3A	RASA1	0.1358
NAGK	HSPA1A	0.1358
HMOX2	CA9	0.1358
CCL24	PRKCG	0.1358
EPOR	MMP14	0.1358
CD300C	PDE7A	0.1356
IL17F	PLCG1	0.1356
PSPN	AIMP1	0.1356
CDH5	TIE1	0.1356
KLK8	PI3	0.1353
CHEK1	FCGR1A	0.1352
FETUB	TFF3	0.1352
XCL1	KLK3	0.1351
PLAUR	TNFSF18	0.1351
FGF1	GCKR	0.1351
