GeneID	GeneID2	Score
ITIH2	SPP1	0.904358354
MRC1	MRC2	0.785714286
MRC1	MRC2	0.905569007
PIP4K2A	PIP4K2B	0.955205811
DKK1	DKK2	0.915254237
DKK1	DKK2	0.904358354
DKK1	DKK2	0.136803874
DKK1	DKK4	0.786924939
SRGN	APP	0.904358354
HK1	FBP1	0.098062954
PPA1	PAPSS1	0.001210654
PCBD1	PCBD2	0.838983051
PSAP	CXCL16	0.906779661
PSAP	CXCL12	0.904358354
PSAP	GRN	0.421307506
PSAP	CTSB	0.071428571
CHST3	NCAN	0.906779661
PLAU	PLAUR	0.955205811
PLAU	PLAUR	0.559322034
PLAU	PLAUR	0.585956416
PLAU	PLAUR	0.97094431
PLAU	PLAUR	0.91283293
PLAU	PLAUR	0.904358354
PLAU	PLAUR	0.916464891
FAS	FASLG	0.904358354
FAS	FASLG	0.783292978
IFIT2	IFIT3	0.904358354
IFIT2	IFIT3	0.300242131
CPN1	CPN2	0.906779661
PNLIPRP1	PNLIP	0.808716707
PNLIP	PNLIPRP1	0.808716707
BET1L	USO1	0.282082324
BET1L	USO1	0.973365617
BET1L	ARFGAP2	0.129539952
INS	SCGN	0.300242131
ARFIP2	ARF1	0.904358354
ARFIP2	ARF1	0.915254237
CALCA	CALCB	0.906779661
SAA2	SAA4	0.475786925
SAA1	SAA4	0.475786925
SAA4	SAA2	0.475786925
SAA4	SAA1	0.475786925
SAA1	SAA2	0.468523002
SAA2	SAA1	0.468523002
SERPING1	C1RL	0.023002421
SERPING1	C1R	0.966101695
SERPING1	C1R	0.918886199
MMP8	MMP7	0
MMP10	MMP1	0.906779661
MMP7	MMP1	0.906779661
MMP7	MMP8	0
MMP1	MMP10	0.906779661
MMP3	MMP1	0.783292978
MMP3	MMP1	0.904358354
MMP13	MMP12	0.002421308
MMP12	MMP13	0.002421308
MMP3	MMP13	0.906779661
APOC3	APOA1	0.91283293
APOA4	APOA1	0.920096852
APOA4	APOA1	0.023002421
APOA5	APOA1	0.915254237
APOA5	APOA1	0.715496368
APOA1	MFGE8	0.904358354
APOA5	MFGE8	0.904358354
APOA4	APOB	0.188861985
APOA5	APOB	0.906779661
APOA4	APOB	0.953995157
APOA1	APOB	0.930992736
APOC3	APOB	0.907990315
APOA5	APOB	0.6937046
APOC3	APOE	0.906779661
APOA5	APOC3	0.708232446
APOA5	APOE	0.904358354
APOA1	APOE	0.935835351
APOC3	PLA2G7	0.330508475
APOA4	APOC3	0.910411622
APOA4	APOE	0.92251816
APOA1	APOC3	0.91283293
APOA4	APOE	0.03874092
APOA5	APOC3	0.91283293
APOA1	APOE	0.934624697
APOA5	PLA2G7	0.686440678
APOA5	APOE	0.688861985
APOA4	PLA2G7	0.686440678
APOA1	PLA2G7	0.686440678
APOC3	PLA2G7	0.686440678
APOA1	APOA5	0.715496368
APOA4	APOA5	0.91283293
APOA1	APOA5	0.915254237
APOC3	APOA5	0.708232446
APOA4	APOA5	0.705811138
APOC3	APOA5	0.91283293
APOC3	APOA4	0.910411622
APOA5	APOA4	0.705811138
APOA1	APOA4	0.023002421
APOA1	APOA4	0.920096852
APOA5	APOA4	0.91283293
APOA1	MXRA8	0.906779661
APOA5	MXRA8	0.904358354
APOA1	PCYOX1	0.700968523
APOA1	CREBBP	0.904358354
NTM	OPCML	0.906779661
OPCML	NTM	0.906779661
FGF6	FGF23	0.920096852
VWF	F8	0.906779661
VWF	ADAMTS13	0.388619855
TPI1	TKT	0.248184019
ENO2	TKT	0.656174334
C1R	C1S	0.968523002
C1RL	C1S	0.181598063
C1R	C1S	0.998789346
C1R	C1S	0.363196126
C1S	C1R	0.968523002
C1S	C1R	0.363196126
C1S	C1R	0.998789346
C1R	C1QC	0.911622276
C1S	C1QC	0.916464891
C1R	SERPING1	0.918886199
C1S	SERPING1	0.947941889
C1R	SERPING1	0.966101695
C1RL	SERPING1	0.023002421
C1S	SERPING1	0.870460048
C1S	C1RL	0.181598063
MFAP5	MFAP2	0.907990315
M6PR	IGF2R	0.905569007
M6PR	IGF2R	0.785714286
CLEC2D	KLRB1	0.92251816
KLRK1	MICB	0.36440678
KLRK1	MICB	0.783292978
MAGOHB	YBX1	0.906779661
LDHB	LDHA	0.949152542
ACVR1B	ACVRL1	0.053268765
KRT18	KRT1	0.906779661
HNRNPA1	RPL12	0.084745763
HNRNPA1	RPL12	0.073849879
HNRNPA1	PABPN1	0.92251816
PA2G4	ERBB3	0.445520581
LGR5	RSPO3	0.93220339
KERA	LUM	0.924939467
KERA	LUM	0.342615012
LUM	FMOD	0.916464891
KERA	FMOD	0.923728814
HSP90B1	BMP4	0.904358354
HSP90B1	NUCB1	0.920096852
HSP90B1	ITIH2	0.911622276
HSP90B1	SCG3	0.906779661
HSP90B1	IGFBP3	0.904358354
HSP90B1	TMEM132A	0.904358354
HSP90B1	RCN1	0.916464891
HSP90B1	HSPA5	0.377723971
HSP90B1	ATF6	0.904358354
CHST11	BGN	0.918886199
ACADS	IVD	0.093220339
HNF1A	CRP	0.300242131
FLT3	FLT3LG	0.904358354
FLT3	FLT3LG	0.783292978
EFNB2	EPHB4	0.857142857
EFNB2	EPHB4	0.975786925
EFNB2	EPHB4	0.487893462
TNFSF13B	CR2	0.300242131
F10	F7	0.939467312
F10	F7	0.85472155
F7	F10	0.939467312
F7	F10	0.85472155
RNASE2	RNASE3	0.904358354
RNASE3	RNASE2	0.904358354
RAB2B	RAB2A	0.906779661
PSMB5	PSMB4	0.96125908
PSMB5	PSMA7	0.960048426
PSMB5	PSMA7	0.962469734
PSME2	PSME1	0.904358354
PSME1	PSME2	0.904358354
SERPINA1	SERPINA10	0.915254237
SERPINA10	SERPINA1	0.915254237
SERPINA1	SERPING1	0.906779661
SERPINA1	TP53	0.300242131
TCL1B	TCL1A	0.783292978
CKB	ASB9	0.446731235
JAG2	BMP4	0.060532688
JAG2	BMP4	0.342615012
RTF1	POLR2J	0.906779661
ADAM10	MFGE8	0.904358354
ADAM10	APOE	0.904358354
ADAM10	MXRA8	0.904358354
DAPK2	DAPK1	0.783292978
HOMER2	HOMER1	0.909200969
HOMER2	HOMER1	0.794188862
NTRK3	NTF3	0.868038741
NTRK3	NTF3	0.904358354
NTRK3	NTF3	0.946731235
NTRK3	NTF3	0.57748184
NTRK3	NTF3	0.598062954
ACAN	TNR	0.904358354
ST8SIA2	NCAM1	0.906779661
RGMA	HFE2	0.904358354
HBQ1	HBZ	0.686440678
HBZ	HBB	0.188861985
HBQ1	HBB	0.686440678
HBZ	HBB	0.800242131
HBZ	HBQ1	0.686440678
MSLN	MUC16	0.479418886
IGFALS	IGF1	0.909200969
IGFALS	IGFBP3	0.915254237
IGFALS	IGF2	0.904358354
IGFALS	IGFBP5	0.915254237
ALDOA	MAPK3	0.129539952
STX1B	STX4	0.468523002
MMP2	TIMP2	0.007263923
MMP2	TIMP2	0.918886199
MMP2	TIMP2	0.479418886
CETP	APOM	0.691283293
CETP	APOA5	0.692493947
CETP	APOC3	0.686440678
CETP	APOC1	0.692493947
CETP	APOC1	0.788135593
CETP	SAA1	0.468523002
CETP	SAA4	0.468523002
CETP	SAA2	0.468523002
CSNK2A2	CSNK2A1	0.909200969
DHX38	TXNL4B	0.282082324
HP	APOL1	0.686440678
HP	HBB	0.92251816
HP	APOA1	0.702179177
HP	CD163	0.923728814
HP	APOA5	0.686440678
TXNL4B	HSPA13	0.007263923
GABARAPL2	GABARAP	0.907990315
GABARAPL2	GABARAP	0.791767554
GABARAPL2	MAP1LC3B	0.907990315
MAP1LC3B	MAP1LC3A	0.920096852
MAP1LC3B	MAP1LC3A	0.829297821
CRK	EGFR	0.796610169
YWHAE	GP1BA	0.041162228
GP1BA	LYN	0.803874092
GP1BA	GP5	0.906779661
ASGR2	ASGR1	0.906779661
DLG4	NLGN1	0.918886199
DVL2	IGF2R	0.905569007
DVL2	SFRP4	0.012106538
DLG4	EFNB2	0.200968523
DVL2	NOTCH3	0.604116223
DVL2	RGS7	0.003631961
DVL2	SFRP4	0.031476998
DVL2	PTK7	0.046004843
DVL2	LRP1	0.004842615
DLG4	LRP1	0.370460048
DVL2	LRP4	0.004842615
DVL2	LRP8	0.004842615
DVL2	JAG1	0.004842615
DLG4	LRP8	0.437046005
DLG4	NRXN3	0.918886199
DLG4	LRRTM2	0.4031477
DVL2	IL7R	0.904358354
DLG4	ADAM22	0.904358354
DLG4	NRCAM	0.91283293
DLG4	NLGN2	0.915254237
DVL2	EGFR	0.914043584
DVL2	NOTCH1	0.604116223
DLG4	ADAM22	0.921307506
TNFSF12	TNFSF13B	0.921307506
TNFSF12	TNFSF13B	0.904358354
NTN1	NEO1	0.357142857
NTN1	NEO1	0.955205811
NTN1	NEO1	0.358353511
NTN1	NEO1	0.170702179
MAP2K4	MAPK8	0.904358354
MAP2K4	MAPK8	0.963680387
MAP2K4	MAPK8	0.559322034
MAP2K4	MAPK8	0.647699758
MAP2K4	MAPK8	0.957627119
CCL5	PDYN	0.904358354
CCL16	CCL5	0.904358354
CCL18	CCL3	0.024213075
CCL3	CCL18	0.024213075
CCL18	CCL3L1	0.024213075
CCL3	CCL3L1	0.783292978
CSF3	PROK2	0.372881356
CSF3	PRTN3	0.300242131
CSF3	ELANE	0.300242131
CSF3	MPO	0.300242131
KRT16	KRT1	0.92251816
KRT17	KRT1	0.92251816
KRT16	KRT5	0.92251816
KRT17	KRT5	0.92251816
STAT5B	STAT3	0.909200969
STAT5B	STAT3	0.388619855
HSD17B1	NAGLU	0.300242131
PPY	PYY	0.906779661
COL1A1	COL2A1	0.914043584
COL1A1	COL2A1	0.751815981
NME1	NME2	0.788135593
MPO	ELANE	0.906779661
MPO	PRTN3	0.906779661
PRKCA	EGFR	0.904358354
PRKCA	EGFR	0.300242131
APOH	PCYOX1	0.686440678
PRKCA	ATF6B	0.541162228
FAM20A	PENK	0.911622276
CANT1	TIMP2	0.923728814
RAB31	RAB22A	0.934624697
RAB31	RAB22A	0.843825666
DSG1	DSC2	0.906779661
MAPRE2	MAPRE1	0.675544794
CNDP2	CNDP1	0.794188862
PRTN3	ELANE	0.906779661
AZU1	ELANE	0.904358354
AZU1	PRTN3	0.904358354
ELANE	PRTN3	0.906779661
FUT3	FUT5	0.783292978
FUT5	FUT3	0.783292978
TNFSF14	LTBR	0.92251816
C3	CP	0.91283293
TNFSF14	LTBR	0.819612591
C3	CX3CL1	0.904358354
C3	CCL1	0.904358354
C3	PLG	0.809927361
C3	CR2	0.906779661
C3	GNG11	0.904358354
C3	PLG	0.361985472
TNFSF14	PSMA2	0.904358354
C3	HCAR2	0.906779661
C3	CFP	0.300242131
C3	CXCL5	0.904358354
TNFSF14	PSMB5	0.906779661
CLEC4M	CLEC4G	0.181598063
CLEC4M	CD209	0.783292978
CD320	TCN2	0.917675545
TYK2	IFNAR1	0.926150121
TYK2	IFNAR1	0.828087167
TYK2	IFNAR1	0.53874092
LDLR	APOB	0.920096852
LDLR	PLA2G7	0.468523002
LDLR	PCYOX1	0.468523002
LDLR	TFRC	0.914043584
EPOR	EPO	0.559322034
EPOR	EPO	0.634382567
EPOR	EPO	0.904358354
EPOR	EPO	0.923728814
EPOR	EPO	0.823244552
RAD23A	UBB	0.945520581
CEBPA	ADIPOQ	0.320823245
CEBPA	ADIPOQ	0.904358354
SIRT2	SARS2	0.31598063
AXL	GAS6	0.579903148
TGFB1	GAS6	0.905569007
AXL	GAS6	0.794188862
CEACAM3	CEACAM8	0.910411622
CEACAM1	CEACAM8	0.906779661
LYPD3	CD177	0.024213075
PLAUR	CD177	0.904358354
PLAUR	BST1	0.904358354
PLAUR	PLAU	0.91283293
PLAUR	PLAU	0.585956416
PLAUR	PLAU	0.559322034
PLAUR	PLAU	0.955205811
PLAUR	PLAU	0.97094431
PLAUR	PLAU	0.916464891
PLAUR	PLAU	0.904358354
APOC1	APOE	0.300242131
APOC1	APOE	0.737288136
APOE	APOB	0.910411622
APOE	APOA5	0.904358354
APOC1	APOB	0.906779661
APOE	APOA5	0.688861985
APOC1	PLA2G7	0.686440678
APOC1	APOA5	0.707021792
APOE	PLA2G7	0.696125908
APOE	FAM20A	0.906779661
APOE	POMC	0.330508475
APOE	MXRA8	0.904358354
APOE	APOC1	0.300242131
APOE	APOC1	0.737288136
APOC1	PCYOX1	0.686440678
APOE	PCYOX1	0.6937046
APOC2	APOC3	0.914043584
APOE	APOC3	0.906779661
APOC2	APOE	0.915254237
APOC2	APOE	0.366828087
APOC2	APOC1	0.807506053
APOC1	APOC3	0.808716707
APOC2	APOA5	0.694915254
APOC2	APOA5	0.906779661
APOC2	PLA2G7	0.6937046
APOE	APOL1	0.904358354
APOE	APOL1	0.686440678
APOC2	APOL1	0.686440678
APOC1	APOL1	0.686440678
RELB	IL12RB2	0.904358354
BCAT2	HSD17B14	0.177966102
HSD17B14	BCAT2	0.177966102
FLT3LG	ERBB3	0.541162228
SIGLEC10	SIGLEC14	0.055690073
CD33	SIGLEC14	0.904358354
KIR2DL1	KIR2DL3	0.783292978
KIR2DL4	KIR2DL3	0.783292978
KIR3DL1	KIR2DL3	0.783292978
KIR3DL1	KIR2DL4	0.036319613
KIR2DL3	KIR2DL4	0.783292978
KIR2DL1	KIR2DL4	0.783292978
KIR3DL2	KIR2DL4	0.076271186
COLEC11	COLEC10	0.906779661
RPS7	EXOSC1	0.920096852
RPS7	PES1	0.553268765
APOB	APOC3	0.907990315
APOB	PCYOX1	0.686440678
APOB	WNT5A	0.909200969
APOB	PLA2G7	0.686440678
APOB	PCSK9	0.909200969
APOB	PCSK9	0.388619855
GCKR	GCK	0.930992736
MCFD2	F5	0.904358354
GKN2	TFF1	0.342615012
REG3A	REG3G	0.904358354
REG3A	REG1A	0.273607748
REG3G	REG3A	0.904358354
REG1A	REG3A	0.273607748
CD8B	CD8A	0.904358354
CD8B	CD8A	0.993946731
IL1R1	IL1R2	0.799031477
IL1R2	IL1R1	0.799031477
IL18RAP	IL18R1	0.905569007
IL18R1	IL18RAP	0.905569007
IL1B	MMP1	0.445520581
IL1A	MMP1	0.300242131
IL1RN	IL1R1	0.905569007
IL1RN	IL1R1	0.904358354
IL1RN	IL1R1	0.360774818
RALB	RALA	0.904358354
RALB	RALA	0.784503632
PLA2R1	MRC1	0.794188862
DPP4	FAP	0.300242131
TTN	ACTN2	0.940677966
TTN	MYL3	0.129539952
TTN	MYOM2	0.468523002
TTN	MYL3	0.930992736
TTN	MYL3	0.101694915
TTN	MYBPC1	0.923728814
HSPD1	HSPE1	0.799031477
IGFBP5	IGFBP2	0.061743341
IGFBP5	MFGE8	0.904358354
IGFBP5	APOB	0.907990315
IGFBP5	ALB	0.904358354
IGFBP5	APOA5	0.904358354
IGFBP2	TP53	0.300242131
IGFBP5	MGAT4A	0.904358354
IGFBP5	CP	0.904358354
IGFBP2	IGFBP5	0.061743341
IHH	SHH	0.907990315
IHH	HHIP	0.915254237
IHH	HHIP	0.904358354
IHH	HHIP	0.8062954
IHH	SHH	0.794188862
ALPI	ALPPL2	0.904358354
UGT1A8	UGT1A6	0.300242131
UGT1A6	UGT1A1	0.300242131
UGT1A8	UGT1A1	0.783292978
COL6A3	COL28A1	0.906779661
ATG4B	GABARAP	0.786924939
ATG4B	GABARAP	0.342615012
ATG4B	GABARAP	0.962469734
ATG4B	GABARAPL2	0.786924939
ATG4B	GABARAPL2	0.964891041
SIRPA	SIRPG	0.784503632
SIRPG	SIRPA	0.784503632
OXT	GNRH2	0.904358354
GNRH2	OXT	0.904358354
ENTPD6	NT5E	0.722760291
NANP	NT5E	0.026634383
LBP	BPI	0.904358354
BPI	RETN	0.907990315
BPI	LBP	0.904358354
HNF4A	CRP	0.318401937
PI3	SLPI	0.300242131
PLTP	PCYOX1	0.686440678
MMP9	CLU	0.466101695
PLTP	CLU	0.692493947
BMP7	BMP4	0.937046005
BMP7	BMP4	0.330508475
RAB22A	RAB31	0.934624697
VAPB	RAB31	0.055690073
RAB22A	RAB31	0.843825666
ADAMTS1	ADAMTS5	0.920096852
IFNGR2	IFNAR1	0.8062954
CBR3	CBR1	0.784503632
CBR1	CBR3	0.784503632
TFF1	TFF3	0.904358354
TFF2	TFF3	0.904358354
TFF1	TFF2	0.904358354
TFF3	TFF2	0.904358354
TFF3	TFF1	0.904358354
TFF2	TFF1	0.904358354
COL6A2	COL6A1	0.983050847
COL6A2	COL6A1	0.981840194
COL6A2	COL6A1	0.904358354
COL6A2	COL6A1	0.978208232
COL6A1	COL6A2	0.904358354
COL6A1	COL6A2	0.978208232
COL6A1	COL6A2	0.981840194
COL6A1	COL6A2	0.983050847
COL6A2	COL28A1	0.909200969
COL6A2	COL6A3	0.973365617
COL6A2	COL6A3	0.981840194
COL6A2	COL6A3	0.904358354
TST	MPST	0.800242131
TMPRSS6	HAMP	0.508474576
TMPRSS6	EPO	0.330508475
IL2RB	EPO	0.541162228
TMPRSS6	NEO1	0.300242131
TNFRSF13C	TNFSF13B	0.906779661
TNFRSF13C	TNFSF13B	0.559322034
TNFRSF13C	TNFSF13B	0.788135593
MAPK11	MAPK12	0.91283293
CHL1	CNTN4	0.014527845
CHL1	CNTN4	0.129539952
CNTN4	CHL1	0.129539952
CNTN4	CHL1	0.014527845
ATG7	GABARAPL1	0.962469734
ATG7	GABARAPL1	0.957627119
ATG7	GABARAP	0.962469734
ATG7	GABARAP	0.957627119
RAF1	CXCL12	0.904358354
LTF	B2M	0.906779661
LTF	MMP8	0.906779661
LTF	SPACA3	0.003631961
RHOA	FASLG	0.330508475
ITIH1	ITIH3	0.065375303
ITIH3	ITIH1	0.065375303
ITIH4	ITIH3	0.915254237
ITIH3	ITIH4	0.915254237
IL17RD	MAPK1	0.904358354
IL17RD	MAP2K1	0.905569007
ROBO1	ROBO2	0.910411622
CD200R1L	CD200R1	0.788135593
ITGB5	VTN	0.783292978
ITGB5	VTN	0.904358354
ITGB5	EDIL3	0.904358354
CP	KNG1	0.911622276
BCHE	IAPP	0.311138015
BCHE	CES1	0.089588378
TNFSF10	TNFRSF11B	0.117433414
TNFSF10	TNFRSF11B	0.14527845
TNFSF10	TNFRSF11B	0.849878935
HRG	AHSG	0.956416465
AHSG	VWA1	0.906779661
HRG	F5	0.909200969
AHSG	F5	0.906779661
AHSG	HRG	0.956416465
KNG1	HRG	0.910411622
KNG1	SST	0.906779661
KNG1	PLG	0.92251816
HRG	PLG	0.944309927
AHSG	PLG	0.939467312
KNG1	TGFB3	0.909200969
AHSG	TGFB3	0.904358354
HRG	TGFB3	0.904358354
KNG1	GRP	0.904358354
DNAJB11	SDF2	0.004842615
KNG1	GPR68	0.904358354
HRG	KNG1	0.910411622
KNG1	KLKB1	0.906779661
KNG1	KLKB1	0.904358354
KNG1	F2	0.917675545
KNG1	KLKB1	0.788135593
HGFAC	HGF	0.906779661
LRPAP1	TNFRSF1B	0.330508475
CD38	BST1	0.852300242
KLB	FGF19	0.906779661
KLB	FGF19	0.904358354
KIT	EPO	0.904358354
KDR	EPO	0.366828087
KIT	EPO	0.089588378
PDGFRA	EPO	0.541162228
IGFBP7	PENK	0.904358354
IGFBP7	SCG3	0.905569007
HTN1	HTN3	0.783292978
AFP	ALB	0.31598063
AFP	ALB	0.906779661
CXCL8	CXCL6	0.926150121
CXCL6	CXCL1	0.928571429
CXCL6	CXCL1	0.105326877
CXCL8	CXCL1	0.928571429
CXCL8	CXCL1	0.45157385
CXCL1	CXCL6	0.928571429
CXCL1	CXCL6	0.105326877
PF4	CXCL8	0.906779661
CXCL6	CXCL8	0.926150121
CXCL1	CXCL8	0.928571429
PF4	CXCL8	0.300242131
CXCL1	CXCL8	0.45157385
PPBP	CXCL6	0.927360775
PF4	CXCL6	0.906779661
PPBP	CXCL6	0.089588378
PF4	PF4V1	0.783292978
PPBP	CXCL1	0.905569007
PF4	CXCL1	0.906779661
CXCL5	CXCL1	0.928571429
CXCL5	CXCL1	0.105326877
PPBP	PF4	0.907990315
CXCL6	PF4	0.906779661
CXCL1	PF4	0.906779661
CXCL5	PF4	0.906779661
PF4V1	PF4	0.783292978
PPBP	CXCL5	0.927360775
PF4	CXCL5	0.906779661
PPBP	CXCL5	0.089588378
EREG	BTC	0.915254237
CXCL10	CXCL9	0.904358354
CXCL10	CXCL9	0.917675545
CXCL11	CXCL9	0.904358354
CXCL11	CXCL9	0.906779661
CXCL10	CXCL9	0.300242131
CXCL11	CXCL10	0.920096852
CXCL11	CXCL10	0.904358354
CXCL9	CXCL10	0.917675545
CXCL9	CXCL10	0.300242131
CXCL9	CXCL10	0.904358354
CXCL10	CXCL11	0.920096852
CXCL9	CXCL11	0.906779661
CXCL10	CXCL11	0.904358354
CXCL9	CXCL11	0.904358354
MAPK10	MAPK8	0.789346247
MAPK10	MAPK8	0.906779661
MAPK10	MAPK8	0.904358354
MAPK10	MAPK8	0.783292978
MEPE	SPARCL1	0.91283293
MEPE	SPP1	0.905569007
ADH1B	ADH1C	0.904358354
ADH1A	ADH1B	0.904358354
ADH1C	ADH1B	0.904358354
ADH1A	ADH1C	0.904358354
IL15	IL2RB	0.917675545
IL15	IL2RB	0.811138015
IL15	IL2RB	0.342615012
FGB	FGG	0.904358354
FGB	FGG	0.983050847
FGB	FGG	1
KLKB1	KNG1	0.906779661
KLKB1	KNG1	0.788135593
F11	F2	0.911622276
KLKB1	KNG1	0.904358354
KLKB1	A2M	0.91283293
F11	SERPINA5	0.915254237
CDH6	CTNNB1	0.92251816
C7	C6	0.906779661
C7	C9	0.906779661
C6	C9	0.911622276
C6	C7	0.906779661
ITGA2	COL2A1	0.904358354
ITGA2	COL2A1	0.541162228
RAB3C	RAB3D	0.916464891
XRCC4	HAPLN1	0.049636804
HAPLN1	XRCC4	0.049636804
HAPLN1	ACAN	0.911622276
VCAN	ACAN	0.061743341
MEF2C	VEGFA	0.330508475
EFNA5	EFNA2	0.246973366
EFNA5	EFNA2	0.904358354
EFNA5	EFNA2	0.910411622
NDST1	HSPG2	0.905569007
HAVCR2	TIMD4	0.342615012
HAVCR2	HMOX1	0.300242131
TIMD4	HAVCR2	0.342615012
FGFR4	KLB	0.904358354
FGFR4	KLB	0.93220339
B4GALT7	GPC1	0.904358354
TXNDC5	GUSB	0.906779661
GMPR	GMPR2	0.783292978
GPLD1	CPM	0.904358354
GPLD1	FOLR2	0.905569007
HLA-G	LILRB1	0.906779661
MICB	MICA	0.783292978
MICA	MICB	0.783292978
LTA	TNFRSF1B	0.918886199
LTA	TNFRSF1B	0.003631961
LTA	TNFRSF1B	0.812348668
TNF	VCAM1	0.904358354
TNF	VCAM1	0.585956416
APOM	PLTP	0.691283293
HSPA1B	HSPA1A	0.904358354
HSPA1L	HSPA1A	0.904358354
C2	TNR	0.003631961
EHMT2	UBE2D1	0.914043584
CFB	TNR	0.003631961
EHMT2	TP53	0.32566586
EHMT2	TP53	0.907990315
EHMT2	CBX5	0.031476998
EHMT2	PRDM1	0.31598063
CFB	CFD	0.823244552
CFB	CFD	0.923728814
CFB	C2	0.911622276
C2	CFB	0.911622276
CFB	C3	0.909200969
C2	C3	0.909200969
C2	C3	0.792978208
CFB	C3	0.792978208
TNXB	ITGB5	0.541162228
TNXB	ITGA5	0.541162228
ATF6B	ATF6	0.783292978
HLA-DQA2	CD3E	0.906779661
HLA-DQA2	KIF3A	0.904358354
HLA-DQA2	CTSB	0.906779661
HLA-DQA2	CLTA	0.904358354
HLA-DQA2	GBP1	0.904358354
HLA-DQA2	CD4	0.910411622
HLA-DQA2	CD4	0.56779661
HLA-DQA2	CTSE	0.906779661
HLA-DQA2	CTSH	0.907990315
PSMB9	PSMB2	0.97094431
PSMB9	PSMA7	0.960048426
CLPS	PNLIP	0.950363196
MAPK14	MAPK13	0.91283293
VEGFA	FLT1	0.920096852
VEGFA	FLT1	0.024213075
VEGFA	FLT1	0.585956416
VEGFA	FLT1	0.81598063
VEGFA	FLT1	0.783292978
VEGFA	FLT1	0.904358354
VEGFA	VEGFB	0.330508475
VEGFA	VEGFB	0.904358354
HSP90AB1	VEGFA	0.188861985
GSTA3	GSTA1	0.601694915
GSTA4	GSTA1	0.611380145
MYB	EPO	0.300242131
PLG	MMP12	0.909200969
IGFBP3	IGFBP1	0.916464891
IGFBP1	IGFBP3	0.916464891
IGFBP3	IGFALS	0.915254237
IGFBP1	IGF2	0.054479419
